,id,instruction,response,test_list,instruction_en
0,1,"প্রথম n সংখ্যার ক্ষুদ্রতম গুণিতক খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Example:
smallest_multiple(n)","def smallest_multiple(n):
    if (n<=2):
        return n
    i = n * 2
    factors = [number  for number in range(n, 1, -1) if number * 2 > n]
    while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i","""['assert smallest_multiple(13)==360360', 'assert smallest_multiple(2)==2', 'assert smallest_multiple(1)==1']""",Enter the smallest multiple of the first n number to find a function.
1,2,"সাধারণ কীগুলির জন্য মান যোগ করে দুটি অভিধানকে একত্রিত করার জন্য একটি ফাংশন লিখুন।
Example:
add_dict(d1,d2)","from collections import Counter
def add_dict(d1,d2):
    add_dict = Counter(d1) + Counter(d2)
    return add_dict","""[\""assert add_dict({'a': 100, 'b': 200, 'c':300},{'a': 300, 'b': 200, 'd':400})==({'b': 400, 'd': 400, 'a': 400, 'c': 300}) \"", \""assert add_dict({'a': 500, 'b': 700, 'c':900},{'a': 500, 'b': 600, 'd':900})==({'b': 1300, 'd': 900, 'a': 1000, 'c': 900}) \"", \""assert add_dict({'a':900,'b':900,'d':900},{'a':900,'b':900,'d':900})==({'b': 1800, 'd': 1800, 'a': 1800})\""]""",Write a function to combine two dictionaries by adding the general keys for values.
2,3,"১ থেকে এন পর্যন্ত মোট আনসেট বিট গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।
Example:
count_Unset_Bits(n)","def count_Unset_Bits(n) :  
    cnt = 0;  
    for i in range(1,n + 1) : 
        temp = i;  
        while (temp) :  
            if (temp % 2 == 0) : 
                cnt += 1;  
            temp = temp // 2;  
    return cnt;  ","""['assert count_Unset_Bits(2) == 1', 'assert count_Unset_Bits(5) == 4', 'assert count_Unset_Bits(14) == 17']""",Write a Python function to calculate the total number of bits from 1 to n.
3,4,"একটি ফাংশন লিখুন যা প্রদত্ত সংখ্যাটি এমনকি হলে সত্য ফেরত দেয় অন্যথায় মিথ্যা ফেরত দেয়।
Example:
even_num(x)","def even_num(x):
    if x%2==0:
        return True
    else:
        return False","""['assert even_num(13.5)==False', 'assert even_num(0)==True', 'assert even_num(-9)==False']""",Write a function which returns the given number even if true returns else if false returns.
4,5,"দ্বিপদী সহগগুলির বর্গক্ষেত্রের যোগফল খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।
Example:
factorial(start,end)","def factorial(start,end): 
    res = 1 
    for i in range(start,end + 1): 
        res *= i      
    return res 
def sum_of_square(n): 
    return int(factorial(n + 1, 2 * n)  /factorial(1, n)) ","""['assert sum_of_square(4) == 70', 'assert sum_of_square(5) == 252', 'assert sum_of_square(2) == 6']""",Write a Python function to find the sum of squares of two coefficients.
5,6,"রেজেক্স ব্যবহার করে একটি ইউআরএল থেকে বছর, মাস এবং তারিখ বের করার জন্য একটি ফাংশন লিখুন।
Example:
extract_date(url)","import re
def extract_date(url):
    return re.findall(r'/(\d{4})/(\d{1,2})/(\d{1,2})/', url)","""['assert extract_date(\""https://www.washingtonpost.com/news/football-insider/wp/2016/09/02/odell-beckhams-fame-rests-on-one-stupid-little-ball-josh-norman-tells-author/\"") == [(\\'2016\\', \\'09\\', \\'02\\')]', 'assert extract_date(\""https://www.indiatoday.in/movies/celebrities/story/wp/2020/11/03/odeof-sushant-singh-rajput-s-death-his-brother-in-law-shares-advice-for-fans-1749646/\"") == [(\\'2020\\', \\'11\\', \\'03\\')]', 'assert extract_date(\""https://economictimes.indiatimes.com/news/economy/2020/12/29/finance/pension-assets-under-pfrda-touch-rs-5-32-lakh-crore/articleshow/79736619.cms\"") == [(\\'2020\\', \\'12\\', \\'29\\')]']""","Enter a function for extracting year, month, and date from a URL using Regex."
6,7,"প্রথম n টি ভাগ্যবান সংখ্যা প্রিন্ট করার জন্য একটি ফাংশন লিখুন।
Example:
lucky_num(n)","def lucky_num(n):
    List=range(-1,n*n+9,2)
    i=2
    while List[i:]:
        List = sorted(set(List) - set(List[List[i]::List[i]]))
        i += 1
    return List[1:n+1]","""['assert lucky_num(10)==[1, 3, 7, 9, 13, 15, 21, 25, 31, 33] ', 'assert lucky_num(5)==[1, 3, 7, 9, 13]', 'assert lucky_num(8)==[1, 3, 7, 9, 13, 15, 21, 25]']""",Type the first n dividing numbers to print for a function.
7,8,"প্রদত্ত অ্যারেতে স্থির বিন্দু খুঁজে পেতে একটি ফাংশন লিখুন।
Example:
find_fixed_point(arr, n)","def find_fixed_point(arr, n): 
	for i in range(n): 
		if arr[i] is i: 
			return i 
	return -1","""['assert find_fixed_point([-10, -1, 0, 3, 10, 11, 30, 50, 100],9) == 3', 'assert find_fixed_point([1, 2, 3, 4, 5, 6, 7, 8],8) == -1', 'assert find_fixed_point([0, 2, 5, 8, 17],5) == 0']""",Enter a function to find a fixed point in a given array.
8,9,"একটি নির্দিষ্ট সংখ্যার পূর্ববর্তী প্যালিনড্রোম খুঁজে পেতে একটি ফাংশন লিখুন।
Example:
previous_palindrome(num)","def previous_palindrome(num):
    for x in range(num-1,0,-1):
        if str(x) == str(x)[::-1]:
            return x","""['assert previous_palindrome(99)==88', 'assert previous_palindrome(1221)==1111', 'assert previous_palindrome(120)==111']""",Enter a function to find the previous palindrome of a specified number.
9,10,"একটি গ্রেগরিয়ান তারিখ বৈধ করার জন্য একটি ফাংশন লিখুন।
Example:
check_date(m, d, y)","import datetime
def check_date(m, d, y):
    try:
        m, d, y = map(int, (m, d, y))
        datetime.date(y, m, d)
        return True
    except ValueError:
        return False","""['assert check_date(11,11,2002)==True', 'assert check_date(13,11,2002)==False', \""assert check_date('11','11','2002')==True\""]""",Enter a Gregorian date to validate for a function.
10,11,"হিপ ক্যু অ্যালগরিদম ব্যবহার করে পূর্ণসংখ্যার একটি অ্যারের তিনটি সংখ্যার সর্বোচ্চ উৎপাদনের জন্য একটি ফাংশন লিখুন।
Example:
maximum_product(nums)","def maximum_product(nums):
    import heapq
    a, b = heapq.nlargest(3, nums), heapq.nsmallest(2, nums)
    return max(a[0] * a[1] * a[2], a[0] * b[0] * b[1])","""['assert maximum_product( [12, 74, 9, 50, 61, 41])==225700', 'assert maximum_product([25, 35, 22, 85, 14, 65, 75, 25, 58])==414375', 'assert maximum_product([18, 14, 10, 9, 8, 7, 9, 3, 2, 4, 1])==2520']""",Enter the maximum output of an array of three integers for a function using the HIP algorithm.
11,12,"ln, m lobb সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Example:
lobb_num(n, m)","def binomial_coeff(n, k): 
	C = [[0 for j in range(k + 1)] 
			for i in range(n + 1)] 
	for i in range(0, n + 1): 
		for j in range(0, min(i, k) + 1): 
			if (j == 0 or j == i): 
				C[i][j] = 1
			else: 
				C[i][j] = (C[i - 1][j - 1] 
							+ C[i - 1][j]) 
	return C[n][k] 
def lobb_num(n, m): 
	return (((2 * m + 1) *
		binomial_coeff(2 * n, m + n)) 
					/ (m + n + 1))","""['assert int(lobb_num(5, 3)) == 35', 'assert int(lobb_num(3, 2)) == 5', 'assert int(lobb_num(4, 2)) == 20']""","In, enter the m-lobb number to find a function."
12,13,"একটি স্ট্রিংয়ের শেষে একটি সংখ্যা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।
Example:
end_num(string)","import re
def end_num(string):
    text = re.compile(r"".*[0-9]$"")
    if text.match(string):
        return True
    else:
        return False","""[\""assert end_num('abcdef')==False\"", \""assert end_num('abcdef7')==True\"", \""assert end_num('abc')==False\""]""",Enter a number at the end of a string to test case for a function.
13,14,"প্রদত্ত স্ট্রিং দুটি বিকল্প অক্ষর দিয়ে তৈরি কিনা তা পরীক্ষা করার জন্য একটি পাইথন ফাংশন লিখুন।
Example:
is_Two_Alter(s)","def is_Two_Alter(s):  
    for i in range (len( s) - 2) : 
        if (s[i] != s[i + 2]) : 
            return False
    if (s[0] == s[1]): 
        return False
    return True","""['assert is_Two_Alter(\""abab\"") == True', 'assert is_Two_Alter(\""aaaa\"") == False', 'assert is_Two_Alter(\""xyz\"") == False']""",Write a test case for a Python function for a given string with two alternative characters.
14,15,"ল্যাম্বদা ফাংশন ব্যবহার করে একটি প্রদত্ত অ্যারেতে ধনাত্মক এবং নেতিবাচক সংখ্যাগুলি পুনরায় সাজানোর জন্য একটি ফাংশন লিখুন।
Example:
rearrange_numbs(array_nums)","def rearrange_numbs(array_nums):
  result = sorted(array_nums, key = lambda i: 0 if i == 0 else -1 / i)
  return result ","""['assert rearrange_numbs([-1, 2, -3, 5, 7, 8, 9, -10])==[2, 5, 7, 8, 9, -10, -3, -1]', 'assert rearrange_numbs([10,15,14,13,-18,12,-20])==[10, 12, 13, 14, 15, -20, -18]', 'assert rearrange_numbs([-20,20,-10,10,-30,30])==[10, 20, 30, -30, -20, -10]']""",Type a function for rearranging positive and negative numbers in a given array using the lambda function.
15,16,"একটি ফাংশন লিখুন যাতে আপনি খুঁজে পান যে অ্যারেতে একটি ট্রিপলেট আছে যার যোগফল একটি প্রদত্ত মানের সমান।
Example:
find_triplet_array(A, arr_size, sum)","def find_triplet_array(A, arr_size, sum): 
	for i in range( 0, arr_size-2): 
		for j in range(i + 1, arr_size-1): 
			for k in range(j + 1, arr_size): 
				if A[i] + A[j] + A[k] == sum: 
					return A[i],A[j],A[k] 
	return None","""['assert find_triplet_array([1, 4, 45, 6, 10, 8], 6, 22) == (4, 10, 8)', 'assert find_triplet_array([12, 3, 5, 2, 6, 9], 6, 24) == (12, 3, 9)', 'assert find_triplet_array([1, 2, 3, 4, 5], 5, 9) == (1, 3, 5)']""",Write a function so that you find that the array has a treeplate whose sum is equal to a given value.
16,17,"একটি বড় হাতের অক্ষর এবং তারপরে ছোট হাতের অক্ষরের ক্রম খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Example:
text_uppercase_lowercase(text)","import re
def text_uppercase_lowercase(text):
        patterns = '[A-Z]+[a-z]+$'
        if re.search(patterns, text):
            return 'Found a match!'
        else:
            return ('Not matched!')","""['assert text_uppercase_lowercase(\""AaBbGg\"")==(\\'Found a match!\\')', 'assert text_uppercase_lowercase(\""aA\"")==(\\'Not matched!\\')', 'assert text_uppercase_lowercase(\""PYTHON\"")==(\\'Not matched!\\')']""",Write a greater than hand character and then less than hand character sequence to find a function.
